id;title;description;address;dateFrom;dateTo;city;tag
45;Česma Đerenka;Česma Đerenka nalazi  se u Gornjoj čaršiji. Legenda kaže da su je Turci podigli u spomen svom omiljenom Đerđelezu koji se nesrećno zaljubio u lepu crnokosu Srpkinju koja nikada nije postala njegova. Izvor ove česme se spustio niže, zbog čega je  1946.g.  napravljena nova česma koja dobija vodu iz istog izvora.;Ugao Sinđeliće-ve i Miloša Obilića;;;Vranje;landmarks
46;Mačkina česma;Mačkina česma se nalazi u dolini Vranjske reke ispod Bujkovskog mosta kod zelene pijace. Ima oblik potkovice na čijim krajevima su bili fenjeri. Pored nje je ogromna žalosna vrba koja simbolično prati tužnu njenu priču. Legenda kaže da je česmu podigao Turčin ne bi li okajao grehe za smrt Dimane, nesrećne Srpkinje kojoj su Turci ubili sva tri sina. Njen muž Tasko zamerio se Turcima i morao je da izbegne. Ostala je Dimana sa svojom mačkom da čeka sudnji dan. U velikoj tuzi jednog dana je izvukla niz zlatnika, koji je dobila od svekra i namenila je snahi, ženi sina prvenca. Kako taj dan nije dočekala, niz zlatnika je stavila mački oko vrata. Mačku je zbog zlatnika ubio Turčin, a Dimana je presvisla od tuge.;Nemanjina. pored Vranjske reke;;;Vranje;landmarks
47;Kulturno obrazovni centar;Kulturno-obrazovni centar KOC je ustanova obrazovana sa ciljem unapređenja kulturno-obrazovne osnove grada i radi organizovanja kulturnih i obrazovnih aktivnosti, pre svega u radu sa mladom i talentovanom decom. U okviru toga, usmerena je na pripremi i organizaciji brojnih takmičenja dece iz raznih oblasti, ali i istraživanja uz prisustvo mentora. Zatim, seminara, predavanja, radionica, kampova kako bi se mladi talenti podstakli na istraživanje i stvaralaštvo. Program KOC-a, podrazumeva i organizovanje škole baleta, plesa, glume ali i raznih manifestacija i kulturnih aktivnosti - književne večeri i izložbe.;Heroji sa Košara;;;Vranje;landmarks
48;Vinarija Aleksić;Otvaranjem vinarije Aleksić 2006.g. oživljeno je vinogradarstvo vranjskog kraja, jer je Vranje u 14.v. bilo poznato kao kraj u kome se gajilo grožđe. Mnoga sela su bila upravo vinogradarska. Danas je smanjen njihov broj, ali se radi na aktiviranju novih zasada pre svega iskorišćavanjem prirodnih odlika područja, pogodnog zemljišta, nagiba terena i klime, koji su garancija dobrog vina.;Industri-jski blok 9_1;;;Vranje;landmarks
49;Spomenik oslobođenja Vranja od Turaka - Čika Mita;Spomenik oslobodiocima Vranja – Čika Mita podignut je 1903.g. u znak zahvalnosti borcima koji su 1878.g. oslobodili Vranje od Turaka. Delo je poznatog beogradskog vajara Simeona Roksandića. Prvi prilog za izradu spomenika dao je proslavljeni general Jovan Belimarković. Ovaj spomenik je delivši sudbinu svog naroda rušen u naletima neprijatelja u Prvom  i Drugom svetskom ratu. Danas ponosno stoji bez leve ruke i puške ,,ostraguše”, kao nemi dokaz koji svedoči o  velikim zločinima tokom ratova.;Trg Republike;;;Vranje;landmarks
50;Zgrada Načelstva;Zgrada načelstva je građena od 1905.g. do 1907.g. za potrebe Načelstva vranjskog okruga i to po projektu arhitekte Petra Popovića. Objekat je monumentalnih razmera i građen je u maniru srpsko-vizantijske arhitekture - vizantijsko građenje sa preuzetim motivima iz moravske škole. Ima podrum, visoko prizemlje i sprat. Zgrada je akademski komponovana. U središnjem delu je ulazni hol sa stepeništem koje vodi do svečane sale na spratu i iz koga polaze hodnici za bočne traktove duž kojih su kancelarije. Danas je sedište Pčinjskog Upravnog okruga.;Trg Republike;;;Vranje;landmarks
51;Palata pravde;Palata pravde je izgrađena 1907.g. u maniru ekletičkog renesansa. Delo je arhitekte Svetozara Jovanovića Starijeg. U svom prvobitnom obliku, zgrada je sagrađena kao prizemni ugaoni objekat. Posle rata, 1945.g. dograđen je sprat i glavni ulaz lociran u središte zgrade u okviru ugaonog trakta. Predstavlja sedište vranjskog pravosuđa.;Kralja Milana broj 2;;;Vranje;landmarks
52;Zgrada starog hotela;Zgrada starog hotela Vranje je podignuta 1892.g. zahvaljujući uglednom i imućnom trgovcu Janči Jovanović Baldžiji. Objekat građanskog stila lepe ornamentike sa balkonom, odakle su se održavali mnogobrojni govori, bio je stecište kulturnog, političkog i javnog života. Izdvajala se hotelska bašta čiji su ulaz krasila raskošna vrata i ukrasi od kovanog gvožđa sa kandelaberom.;Trg Republike broj 7;;;Vranje;landmarks
53;Mozaik mapa;Unikatna mapa grada u vidu mozaika izgrađena je 1975.g., a rekonstruisana 2021.g. U vreme njene izgradnje bila je jedinstvena ne samo u Srbiji nego i u Evropi. Sastavljena je iz delića prirodnog kamena u boji i na njoj su predstavljene vranjske ulice i bitni objekti u gradu. Delo je akademskog slikara i dizajnera Stevana Đukića. Radovima rekonstrukcije je rukovodio akademski slikar Dragan Gašić, Đukićev sestrić koji je i pomagao ujaku u izradi mozaika.;Trg Republike;;;Vranje;landmarks
54;Trg Republike;Jedinstvena ambijentalna celina koja se nalazi na vrhu pešačke zone u okviru raskrsnice, gde od centra grada putevi vode ka gornjim delovima, krivudavim i tesnijim ulicama, sokacima, ali ka bitnim spomenicima kulture. Na samom Trgu su locirani značajni objekti ljudskog stvaralaštva i arhitektonskih stilova s početka 20.v., zgrada Načelstva, Palata pravde, zgrada starog hotela, spomenik Čika Mita i mapa mozaika. U blizini je i zgrada vranjskog teatra.;Trg Republike;;;Vranje;landmarks
55;Gradski park;Jedan od najstarijih parkova u Srbiji, najvećih i svakako najlepših jeste vranjski park. Izgrađen je 1890.g. na mestu gde je nekada bilo tursko groblje. U njegovom sastavu je bio teniski teren, prvi u Srbiji, a na samom ulazu raskošna drvena kapija. Danas u svom sastavu ima amfiteatar, muzički paviljon, šahovski kutak, fontanu, rekvizite za najmađe. Posebno mesto u njemu zauzimaju biste poznatih vranjanaca: Oca Justina Popovića – doktora teologije, Đorđa Tasića – doktora prava, Franje Kopše – lekara i osnivača prve ambulante i Jovana Hadživasiljevića- etnologa, a centralno mesto pripada spomeniku Borisava Stankovića.;Ugao Partizanske i Kneza Miloša;;;Vranje;landmarks
56;Baba Zlatina ulica;Baba Zlatina ulica je jedinstvena ulica, popločana kaldrmom i predstavlja zaštićenu prostorno kulturno-istorijsku celinu. Formirana je u vreme punog procvata i razvoja grada u 19.v. Na severnom frontu su visoki i dugi ogradni zidovi pokriveni ćeremidom koji se smenjuju sa zidovima pomoćnih ekonomskih objekata kuća, a na južnoj strani preovlađuju masivni kućni zidovi. Posebnu vrednost u sklopu ove ambijentalne celine predstavlja Muzej kuća Bore Stankovića kao jedna od najstarijih i konzervatorski tretiranih objekata, kao i verski kompleks Svepravoslavni centar „Prepodobni Justin Ćelijski i Vranjski“.;Baba Zlatina ulica;;;Vranje;landmarks
57;Spomenik Borisava Stankovića;Spomenik Bori Stankoviću otkriven je 1954.g. u čast velikanu srpskog realizma i najpoznatijem Vranjancu. Delo je vajara Slavka Šoše. Nalazi se u gradskom parku.;Gradski park;;;Vranje;landmarks
58;Spomenik Bakije Bakića;Spomenik Bakiji Bakiću otkriven je 2006.g. u čast velikom majstoru trube, višestrukom osvajaču prve trube festivala u Guči. Delo je vajara Stanimira Pavlovića. Nalazi se u Gornjoj čaršiji, na trgu Belo jagnje.;Trg Bakije Bakića - Belo jagnje;;;Vranje;landmarks
59;Spomenik Staniše Stošića;Spomenik Staniši Stošiću je otkriven 2012.g. u čast najistaknutijem predstavniku vranjske pesme. Delo je akademskog vajara Zorana Ivanovića. Nalazi se ispred Narodnog muzeja.;Trg Staniše Stošića;;;Vranje;landmarks
60;Spomenik Revolucije;Spomenik Revolucije  podignut je 1985.g. da čuva uspomenu na veliku epopeju i herojstvo 954 poginulih Vranjanaca u Drugom svetskom ratu. Simbolika spomenika je vrlo ohrabrujuća, dete u naručju majke ponosno uz oca junaka, na konjima vrancima jaše napred, u novi svet, sa pogledom na istok u izlazeće Sunce. Delo je beogradskog vajara Ante Gržetića. Nalazi se ispred Pedagoške akademije.;Partizanska 14;;;Vranje;landmarks
61;Spomenik žrtvama u Prvom svetskom ratu;Spomenik žrtvama u Prvom svetskom ratu podignut je 1922.g., kao sećanje na poginule vojnike i građane za slobodu Vranja u periodu od 1914.g. do 1918.g. Delo je kamenorezca Velimira Dimitrijevića Velje. Na dan oslobođenja Vranja, 4-og oktobra u Prvom svetskom ratu na četvrtoj strani spomenika je 2003.g. postavljena spomen ploča vojvodi Petru Bojoviću.  Nalazi se ispred Sabornog hrama.;Ispred Saborne crkve;;;Vranje;landmarks
62;Spomenik žrtvama Nato agresije;Spomenik žrtvama NATO agresije podignut je 2008.g. i posvećen je svim poginulim vojnicima, policajcima, građanima u bombardovanju 1999.g. Delo je vajara Stanimira Pavlovića. Spomenik simbolizuje silu koja se pojavljuje odozgo, ali i Sunce, simbol večnosti, ispod kojeg su uklesana imena poginulih. Nalazi se na platou ispred galerije Narodnog muzeja.;plato ispred Galerije Narodnog muzeja;;;Vranje;landmarks
63;Izletište Borino brdo;Brdo koje se izdvaja u okviru planinskog masiva Krstilovica u SZ delu grada, prvobitno se zvalo Golič, zbog ogolelih strana. Danas nosi ime znamenitog Vranjanca, koji je učestvovao u njegovom pošumljavanju. Predstavlja veoma dobro uređeno izletište u ambijentu borove šume sa raznovrsnim rekvizitima za odmor i rekreaciju od prirodnih materijala, namenjenih deci i odraslima, pri čemu posebno mesto zauzima kućica osmatračnica.;Borino brdo;;;Vranje;landmarks
64;Izletište Pržar;Brdo u okviru planinskog masiva Pljačkovica, u SI delu grada, gde je nekada  Sunce spržilo svu vegetaciju, nazvano je Pržar.  Na njegovom vrhu, sagrađena je prva šumska kućica davne 1906.g. a zatim i česma. Od oslobođenja 1945.g. na ovom mestu se organizuju prvomajski uranci. I danas je mesto okupljanja Vranjanaca, zahvaljujući postojanju hotela sa restoranom i uređenim stazama za šetnju, terenom za mali fudbal i kutkom za decu, a pritom je okruženo šumom. Na njemu se izdvaja prelepi vidikovac sa pogledom na vranjsku kotlinu.;Pržarska bb;;;Vranje;landmarks
65;Izletište Aleksandrovačko jezero;Aleksandrovačko jezero je udaljeno 8km JZ od Vranja i  nalazi se u fazi revitalizacije. Nastalo je izgradnjom nasute brane na Aleksandrovačkoj reci. Prvobitna namena je bila navodnjavanje voćnjaka u dolini te reke. Jezero, iako veštačka tvorevina, nalazi se u prirodnom amfiteatru, okruženom obodnim uzvišenjima koja predstavljaju južni i severni krak vododelnice dva vodotoka, Trebešinjske i  Preobražanjske reke. Kao takvo ima određeni značaj za zadovoljenje  izletničko-turističkih i rekreacionih potreba, sa izvesnim ugostiteljskim sadržajima.;Aleksandro-vac;;;Vranje;landmarks
66;Vidikovac sa spomenikom posvećenim žrtvama NOR-a od 1941.g. do 1945.g.;Iznad crkve u Vranjskoj Banji se nalazi vidikovac odakle se pruža divan pogled na korito Banjske reke i banjski park sa Sat kulom i mostovima. Na vidikovcu je i spomen obeležje u vidu spomenika posvećeno palim borcima za slobodu naroda Vranjske Banje u periodu od 1941.g. do 1945.g. Otkriven je 1951.g. povodom Dana Republike tadašnje Jugoslavije - 29.novembra.;Partiza-nski put bb;;;Vranje;landmarks
67;Spomen ploča posvećena palim borcima  u ratovima od 1912.g. do 1918.g.;Spomen obeležje u vidu ploče je postavljeno 2016.g. na dan Gradske opštine Vranjska Banja 26.januar. Nalazi se neposredno ispred parka u Vranjskoj Banji.;Kralja Petra Prvog Oslobodioca - kružni tok;;;Vranje;landmarks
68;Izletište Prvonek sa jezerom;U blizini Vranjske Banje, 8km uzvodno uz Banjšticu, kod starog naselja Gradište u selu Prvonek, gde se nalaze ostaci tvrđave i cevi nekadašnjeg rimskog vodovoda, izgrađena je Prvonečka brana visine 96m sa mini hidro elektranom. Izgradnjom nasute brane je dobijeno i jezero dužine 5km, pogodno za beg od svakodnevnice, a u podbranskom delu se nalazi uređeno mesto za piknik.;Prvonek;;;Vranje;landmarks
69;Kanjon Kazanđol;Na Vranjskoj reci iznad Belog mosta se nalazi unikatni hidrološki objekat, koji je rezultat rečne erozije. Predstavlja udubljenje koje je nastalo mehaničkim delovanjem vodene mase u steni. Korito Vranjske reke je poznato po virovima i slapovima, a Kazanđol je najveći vir širine 6m i dubine 2m. Pogodno je za kupanje u letnjim mesecima. Potiče od turske reči kazan i persijske reči jol i označava udubljenje. Zanimljiv podatak je taj da je na ovom prostoru Gavrilo Princip učio da rukuje pištoljem.;Vranjska reka iznad Belog mosta;;;Vranje;landmarks
70;Crkva Svetog Ilije;Ispod nekadašnjeg vizantijskog grada Izoma nalazi se banjska crkva. Smeštena na desnoj obali reke Banjštice, na uzvišenoj terasi. Građena je  u periodu od 1928.g. do 1933.g. po uzoru na crkvu sa Oplenca i to po želji kralja Aleksandra Karađorđevića, koji je finansirao njenu izgradnju kako bi se zahvalio za gostoprimstvo koje su Banjčani pružali njegovom ocu, kralju Petru. Delo je ruskog arhitekte Vasilija Androsa. Svetilište je izgrađeno u srpsko-vizantijskom stilu sa unakrsnom bazom kupole i priprate, i crkvenim zvonikom – tornjem.;Partizanski put;;;Vranje;landmarks
71;Ruski spomenik - Spomenik Kozacima;Ruski spomenik je posvećen braći Kozacima koji su u periodu od 1921.g. do 1925.g. izgradili put dužine 70 km, koji spaja Vranjsku Banju sa Bosilegradom preko Besne Kobile. Nalazi se duž puta prema Bosilegradu preko Besne Kobile i to na najvišoj koti puta. Komandant čuvene Kozačke divizije bio je Vasiljij Longvinov.;Korbevac;;;Vranje;landmarks
72;Ruski spomenik - Spomenik Kozacima;Ruski spomenik je posvećen braći Kozacima koji su u periodu od 1921.g. do 1925.g. izgradili put dužine 70 km, koji spaja Vranjsku Banju sa Bosilegradom preko Besne Kobile. Nalazi se duž puta prema Bosilegradu preko Besne Kobile i to na najvišoj koti puta. Komandant čuvene Kozačke divizije bio je Vasiljij Longvinov.;najviša kota Ruskog puta na Besnoj Kobili;;;Vranje;landmarks
73;Crkva Svetih apostola Petra i Pavla;Na putu do Besne Kobile, u ataru sela Kriva Feja, u najvećem selu na planini, nalazi se verski objekat posvećen Svetim apostolima Petru i Pavlu. Smatra se da je crkva  izgrađena prilozima meštana sela, oko 1870.g. Tačni podaci o periodu nastanka crkve nalaze se na ikonostasu, koji su oslikala dva ikonopisca, Veno Krstevič Zograf 1873.g. i T. I. Budžaroski, 1909.g. Na ikonostasu ima 25 ikona. Crkva je obnovljena u periodu od 2005.g. do 2009.g., kada je episkop vranjski izvršio njeno osvećenje.;Kriva feja;;;Vranje;landmarks
74;Crkva Svetog Jovana;Nedaleko od izletišta Prvonek, u ataru istoimenog sela se nalazi verski objekat posvećen rođenju Svetog Jovana Krstitelja. Crkva je jednobrodna građevina, sa trostranom oltarskom apsidom na istoku. Sagrađena je od neobrađnog kamena, omalterisana i okrečena u belo. U natpisu iznad južnih vrata na zapadnoj fasadi stoji: Hram Roždestva Svetog Jovana - crkva prvonečka podignuta je 1819.g. od naroda dobrovoljnim prilogom. Pokretač je bio gospodin Mijailo Mladenović, sveštenik i tutor Ivan Stanković. Na zvonu piše: Ovo zvono obštine prvonečke hrama Roždestva Svetog Jovana 1884. g., a na samom ikonostasu nalaze se dva natpisa, na kojima je datiran tačan datum izgradnje, odnosno obnove crkve, a to je 21. avgust 1881.g, pa se sve ove godine mogu uzeti kao značajne za vreme nastanka ove crkve. Na ikonostasu ima 48 ikona. Ikone na prestolu delo su zografa bliskog Adamčetu Živopiscu.;Prvonek;;;Vranje;landmarks
76;Gradski stadion;Postojanje stadiona omogućava održavanje raznih manifestacija, utakmica, kroseva i drugih aktivnosti vezanih za razonodu i rekreaciju. U sastavu gradskog stadiona je glavni teren odnosno fudbalski stadion sa veštačkom travom, oko kojeg je uređena tartan staza i tribine, zatim pomoćni teren i ekonomat. Pogodan je i za organizaciju događaja u večernjim satima zbog postojanja reflektora odnosno osvetljenja.;Bulevar Patrijarha Pavla br.1;;;Vranje;landmarks
77;Sportsko-rekreativni centar	;Sportsko-rekreativni centar se nalazi pored Sportske hale i omogućava razne vidove rekreacije. U njegovom sastavu je bazen sa pratećim sadržajem, četiri teniska terena sa podlogom od šljake, otvoreni tereni za rukomet-mali fudbal,  košarku, odbojku, bič-volej, dečije igralište i teren za uličnu gimnastiku.;Bulevar Patrijarha Pavla br.1;;;Vranje;landmarks
78;Biblioteka Bora Stanković;Najstarija istitucija kulture u gradu, osnovana 1879.g, kao tadašnja Čitaonica vranjska, zadužena je za unapređenje bibliotečke delatnosti i kulture, zahvaljujući postojanju odeljenja: Zavičajno, Stručno, Matično, Dečije, Za odrasle, Američki kutak, Internet čitaonica i Odeljenje obrade. U njenim prostorijama se održavaju brojne promocije knjiga i izložbe.;Heroji sa Košara;;;Vranje;landmarks
79;Škola animiranog filma - ŠAF;"Prva škola animacije u Srbiji, koja uspešno radi od 1987.g. i broji preko 300 naslova osnovana je na temeljima Kluba ljubitelja filmske umetnosti. Prvi film ove škole pod imenom ""Kutija"" je u trajanju od 1 minuta i 12 sekundi. ŠAF se pre svega bavi dečijim animiranim filmom. Deci se približava filmska umetnost i animacija. Uče se osnovni pojmovi: ideja, sinopsis, scenario, knjiga snimanja, postavka, animacija, prosec snimanja, montaža, ozvučavanje. U cilju približavanja animacije organizuju se radionice za animirani film kako u Vranju, tako i u drugim gradovima Srbije.";Heroji sa Košara;;;Vranje;landmarks
80;Pozorište Bora Stanković;"Prvu pozorišnu predstavu Vranjanci su odigrali 30. januara 1896.g. Bio je to Njegošev ""Gorski vijenac"" u režiji Radoja Domanovića, ondašnjeg profesora vranjske gimnazije. Pozorišni život u Vranju odvijao se do  2012.g. u zgradi koju je 1892.g. izgradio vranjski trgovac Janča Jovanović Baldžija, kada je zgrada pozorišta u potpunosti izgorela u podmetnutom požaru, a čija rekonstrukcija je završena 2019.g. Danas, vranjsko pozorište je jedno od najsavremenijih u Srbiji, ima veliku salu sa 256 mesta sa rotirajućom scenom pogodnu i za složene predstave, opere i balete. Zatim izložbeni prostor i malu salu pogodnu za kamerne i dečije predstave. Prilikom svečanog otvaranja rekonstruisanog pozorišta, izvedena je opera ""Koštana"" beogradskog Narodnog pozorišta u režiji Juga Radivojevića.";Narodnog heroja 1;;;Vranje;landmarks
81;Narodni univerzitet;Kulturno-obrazovna institucija osnovana radi zadovoljavanja potreba i prava građana u oblasti kulture i obrazovanja odraslih. Poseban segment obrazovanja je centar za zanatska zanimanja u kome se izdvaja oblast starih zanata – užar, gajtandžija, sedlar, sarač, grnčar, sapundžija i to radi očuvanja tradicije grada,  nekadašnje zanatske varoši. U svom sastavu poseduje i galeriju u okviru zgrade Doma kulture.;Kneza Miloša 26;;;Vranje;landmarks
82;HOTEL DUNAV;Hotel “Dunav” sa tri zvezdice, lociran u samom centru grada. Raspolaže sa 140 ležaja, 4 ekskluzivna apartmana, kablovskom televizijom, direktnom telefonskom linijom, WiFi internetom, room service, ekskluzivnom banket salom “Milena”, kazinom, salom za ručavanje, kongresnom salom, parking prostorom, menjačnicom, prodavnicom suvenira, štampe.;;;;Požarevac;accomodations
83;HOTEL FENIKS;Hotel „Feniks“ (3*) raspolaže sa 28 soba i 2 apartmana.  Svaka soba poseduje TV, Wi-Fi internet, klima uređaj, minibar, sopstveni parking.;;;;Požarevac;accomodations
84;Hostel „POŽAREVAC“;Opremljen ekskluzivnim jednokrevetnim i dvokrevetnim sobama, šestokrevetnim dupleks apartmanom kao i drugim apartmanima. Nalazi se u centru grada, na Bulevaru, u neposrednoj blizini Muzeja i Galerije “Milene Pavlović Barili”. Objekat poseduje centralno grejanje, klimu, WIFI internet, fen za kosu, kuhinju, kablovsku televiziju.;;;;Požarevac;accomodations
85;Restoran i smeštaj “Konak”;Restoran i smeštaj “Konak” je moderna poslovna zgrada. Nalazi se u središtu grada, u najstarijoj ulici u Požarevcu. Zgrada ima 19 soba (40 kreveta), veliku dvoranu za 300 ljudi, manju dvoranu sa 180 mesta i letnju baštu.;;;;Požarevac;restaurants
86;Restoran Inn ;Kapacitet konačišta  je  36  ležaja. Kapacitet  restorana  je  70  mesta  i  20  mesta  u  bašti.;;;;Požarevac;restaurants
87;Restoran sa prenoćištem Boem;Na 10  minuta šetnje od grada nalazi se restoran  “Boem”. Prenoćište ima  20  soba,  od kojih su  4  jednokrevetne, 8  dvokrevetne i  8  soba sa francuskim ležajem.;;;;Požarevac;restaurants
88;Restoran sa prenoćištem ELLITE;Kapacitet restorana  je  40  mesta,  a  objekat  poseduje  15  dvokrevetnih  soba. Poseduje prijatnu baštu sa fontanom kapaciteta 30 mesta.;;;;Požarevac;restaurants
89;Kafana sa prenoćištem Ljubičevski raj;Nalazi se na par kilometara od centra Požarevca na putu za Beograd. Poseduje salu sa  400  udobnih mesta,  raspoloživih za svadbe,  rođendane,  porodične intimne ručkove,  bankete i ostale Vaše svečanosti,  tradicionalnu kuhinju,  i sobe za prenociste sa 40 lezaja.;;;;Požarevac;restaurants
90;Muzej kulturne istorije;"Zgrada Muzeja kulturne istorije u ulici Nemanjina broj 9, predstavlja tipičnu kuću bogate trgovačke porodice. Građanska elita u Požarevcu s kraja XIX i početka XX veka, počinje da gradi udobne kuće za porodično stanovanje od čvrstog materijala, ulepšava svoj enterijer masivnim stilskim nameštajem, umetničkim predmetima, proizvodima zanatske delatnosti, strane i domaće izrade, čime iskazuje svoj prestiž, moć i raskoš. Stilski nameštaj je nabavljen u Pešti, Beču i Beogradu. Rađen je po uzoru na evropske stilove tadašnjeg vremena.
Plavi salon je najveća soba u kući i predstavlja zajedničku prostoriju, simbol druženja i društvenih veza. Salon deluje raskošno svojom tavanicom, dekorativno okrečenim zidovima i ukrašenim daščanim podom. Imućnije porodice su naručivale slike koje su ukrašavale zidove, i to su bili najčešće portreti članova porodice, fotografije i porodične memorabilije.";;;;Požarevac;landmarks
91;Narodni muzej;"Narodni muzej u Požarevcu je posle Narodnog muzeja u Beogradu drugi najstariji muzej u Srbiji, osnovan 1895. godine .Pokriva teritoriju Braničevskog okruga i u svojim zadužbinama čuva preko 50.000 muzejskih predmeta iz raznih perioda. Muzej poseduje više stalnih i povremenih postavki u zgradama koje se nalaze na različitim lokacijama.
GLAVNA ZGRADA MUZEJA sa stalnom postavkom arheoloških zbirki i depoom nalazi se u ulici Voje Dulića 10. Nekoliko svetskih unikata se nalazi u muzeju, kao što je pero CALAMUS koje je služilo za pisanje po rimskim voštanim pločama, jedinstvena numizmatička zbirka, grb Viminaciuma izrađen od mermera koji je potkovičastog oblika, rimski i venecijanski zlatnici, zlatnik Aleksandra Makedonskog, sarkofazi, skulpture, medalje Požarevačkog mira...";;;;Požarevac;landmarks
92;Narodna biblioteka „Ilija M. Petrović“;Osnovana je 27. januara 1847. godine , što je svrstava u jednu od najstarijih kulturnih ustanova, a jedanaestu po redu osnovanu biblioteku u Srbiji. Danas je smeštena u zgradi Okružnog zdanja, podignutoj krajem 19. veka.  Sa Odeljenjem u Kostolcu ima fond od oko 110.000 bibliotečkih jedinica.;;;;Požarevac;landmarks
93;Galerija Milene Pavlović Barilli;"Galerija Milene Pavlović Barilli nalazi se pored zgrade Narodnog muzeja u samom srcu grada. Smeštena je u rodnoj kući slikarke koju je 1962. godine njena majka Danica poklonila Gradu, a nakon toga je osnovana memorijalna galerija.
Posetioci u Galeriji mogu pogledati stalnu postavku slika (ulje na platnu, akvarel, tempere, pastel), njene lične predmete, nameštaj, Mileninu ličnu biblioteku.";;;;Požarevac;landmarks
94;Galerija savremene umetnosti;Galerija savremene umetnosti predstavlja jedinstven izložbeni prostor.Namenjen je prvenstveno likovnim i tematskim izložbama koje organizuje gradski muzej, arhiv, biblioteka i Galerija Milene Pavlović – Barilli.;;;;Požarevac;landmarks
95;Istorijski arhiv Požarevac;"Istorijski arhiv Požarevac osnovao je, kao Arhivsko središte, 24. aprila 1948. godine tadašnji Gradski Narodni odbor Požarevac.
Istorijski arhiv Požarevac je ustanova u kulturi koja obavlja delatnost zaštite registraturskog (dokumentarnog) materijala i arhivske građe kao kulturnog dobra od posebnog društvenog značaja na području Braničevskog upravnog okruga.";;;;Požarevac;landmarks
96;Spomenik Knjazu Milošu;"Požarevac je dugo bio druga rezidencija knjaza Miloša. Izgradio je konake za svoju porodicu i sebe, razvio trgovinu jer je i sam bio trgovac. Oslobodio je Požarevac od turske vlasti u Drugom srpskom ustanku 1815. godine. Samim tim, u znak zahvalnosti, podignut mu je spomenik 1898. godine.
Spomenik je izliven u bronzi i predstavlja rad poznatog vajara Đorđa Jovanovića, a urađen je u Parizu 1897. godine. Nalazi se u samom centru gradskog parka, ispred zgrade Okružnog zdanja. 
U gradskom parku podignute su i spomen ploče narodnih heroja  Čedi Vasoviću, Bošku Vrebalovu, Božidaru Dimitrijević – Kozici, Veljku Dugoševiću i narodnom tribunu Vasi Pelagiću.";;;;Požarevac;landmarks
97;Spomenik srpskim vojnicima 1912–1918. godine;Godine 1923, podignut je Spomenik srpskim vojnicima 1912–1918. godine.;;;;Požarevac;landmarks
98;Spomenik palim borcima 1991-1998;Spomenik posvećen palim borcima iz ratova u periodu 1991–1998. godine nalazi se na platou ispred Doma zdravlja.;;;;Požarevac;landmarks
99;Biste umetnika;U Sunčanom parku, ispred Centra za kulturu, nalaze se biste Milivoju Živanoviću, Milici Stojadinović Srpkinji, Mileni Pavlović – Barilli, Žanki Stokić i Slobodanu Stojanoviću;;;;Požarevac;landmarks
100;Etno park Tulba;"U okviru Narodnog muzeja Požarevac, formiran je 1972. godine etno park Tulba, sa ciljem da se na javnom mestu prikažu tradicionalne vrednosti narodne arhitekture Braničevskog kraja iz 19. veka i sastoji se od tri objekta: dvodelna i četvorodelna kuća i ambar za skladištenje žitarica. U sklopu parka se nalazi i replika šatora Požarevačkog mira i etno restoran ""Tulba"".";;;;Požarevac;landmarks
101;Kuća Dobrnjčevih;"Dobrnjčeva kuća u Nemanjinoj ulici br. 33 je sazidana devedesetih godina devetnaestog veka na placu koji su potomci Petra Dobrnjca, vojvode Prvog srpskog ustanka poklonili Požarevcu. Tako je nastao Fond Petra Dobrnjca koji je kasnije predat muzeju na korišćenje uz promenu imena kako se i danas zove Kuća Dobrnjčevih.
U ovoj zgradi su izloženi predmeti koji pripadaju vremenu Prvog i Drugog srpskog ustanka. Vojvoda Petar Dobrnjac(17711828) rodom iz Dobrnje, predvodio je ustanike iz požarevačkog kraja u Prvom srpskom ustanku i zajedno sa Milenkom Stojkovićem i voždom Karađorđem učestvovao u oslabađanju Požarevca od Turaka. Naročito se istakao u boju na Ivankovcu 1805. godine kada je od Sovjeta dobio čin vojvode. Do napuštanja Srbije 1811. godine živeo je u Požarevcu.";;;;Požarevac;landmarks
102;Legat Miodraga Markovića;"Miodrag N. Marković rođen je u Požarevcu 4. decembra 1897. godine. Uprkos velikim fizičkim naporima obrazovala se, upoznavala i primala kulturu drugih naroda, a istovremeno uočavala i izdvajala u našem narodu najveće vrednosti. Visoko obrazovanje, istančan ukus, rad i druženje u diplomatskim predstavništvima širom sveta iznedrili su kod Markovića veliku ljubav prema umetnosti, a posebno prema slikarstvu.
Družeći se sa slikarima on je strpljivo i prefinjeno stvarao umetničku zbirku, koju je pri kraju života poklonio gradu Požarevcu.";;;;Požarevac;landmarks
